aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.12.3-1
alsa-card-profiles 1:1.0.0-2
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20231211.f2e52a1c-1
amdfan 0.1.26-1
aom 3.8.0-2
appimagelauncher 2.2.0-6
appstream 1.0.1-1
arandr 0.1.11-2
arc-gtk-theme-git 20221218.r0.g3fd4786f-1
archlinux-keyring 20231207-1
archlinux-xdg-menu 0.7.6.6-1
argon2 20190702-5
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
atool 0.39.0-8
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.2-1
authy 2.4.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
babl 0.1.106-1
base 3-2
base-devel 1-1
bash 5.2.021-1
bash-completion 2.11-3
bat 0.24.0-1
bc 1.07.1-4
bemenu 0.6.16-1
bemenu-wayland 0.6.16-1
bibata-cursor-theme-bin 2.0.4-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
bluez-libs 5.71-3
bmon 4.0-4
boost-libs 1.83.0-4
borg 1.2.6-1
borgmatic 1.8.5-1
botan 3.2.0-1
botan2 2.19.3-1
bridge-utils 1.7.1-1
brotli 1.1.0-1
btop 1.2.13-1
btrfs-progs 6.6.3-1
bzip2 1.0.8-5
c-ares 1.23.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calcurse 4.8.1-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cblas 3.12.0-3
cdparanoia 10.2-8
chafa 1.12.4-3
check 0.15.2-2
chromaprint 1.5.1-7
chrono-date 3.0.1-3
cifs-utils 7.0-3
cliphist 1:0.4.0-2
clipmenu 6.2.0-2
clipnotify 1.0.2-2
cmake 3.28.1-1
cmatrix 2.0-2
confuse 3.3-3
coreutils 9.4-2
cowsay 3.04-4
cpio 2.14-1
cppdap 1.58.0-1
cronie 1.7.0-4
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
diffutils 3.10-1
discord 0.0.39-1
djvulibre 3.5.28-5
dmenu 5.2-1
dmidecode 3.5-1
dnsmasq 2.89-1
dnssec-anchors 20190629-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dtc 1.7.0-4
duf 0.8.1-2
duktape 2.7.0-6
